nodes,edges
zucchini,0
strawberry_plant,0
strawberry,0
squash,0
spring_onion,0
chicory,0
spinach,0
snow_pea,0
salsify,0
summer_savory,0
rosella,0
corn_salad,0
cowpea,0
rocket,0
rhubarb,0
dwarf_bean,0
pea,0
parsnip,0
yacon,0
collard,0
cardoon,0
shallot,0
cabbage,0
apple,0
turnip,0
winter_savory,0
angelica,0
tomato,0
tomatillo,0
beet,0
watermelon,0
sunflower,0
bell_pepper,0
taro,0
brassica,0
sweetcorn,0
sweet_potato,0
sweet_marjoram,0
thyme,0
garlic,1
jerusalem_artichoke,1
parsley,1
kohlrabi,1
mustard_green,1
artichoke,1
celeriac,1
chervil,1
lemon_balm,1
dill,1
cress,2
mizuna,2
amaranth,2
coriander,2
sage,2
fennel,2
fava_bean,2
basil,2
lettuce,2
marrow,3
radish,3
florence_fennel,3
rockmelon,4
potato,4
marigold,4
luffa,4
horseradish,4
anise,4
asparagus_pea,4
cape_gooseberry,4
cauliflower,4
eggplant,4
endive,4
choko,5
melon,5
borage,5
chard,5
chinese_cabbage,5
santolina,6
rutabaga,6
corn,6
allium,6
pumpkin,7
hyssop,7
nasturtium,7
chilli_pepper,7
leek,7
pak_choy,7
lavender,7
french_tarragon,7
asparagus,8
rosemary,8
oregano,9
onion,9
climbing_bean,10
bean,10
bean_herb,10
beetroot,10
broccoli,10
brussels_sprout,10
ginger,10
daikon,10
feverfew,10
chilli,10
cucumber,10
carrot,10
chamomile,10
kale,11
burdock,13
okra,13
celery,14
dwarf_bush_bean,14
chive,14
mint,18
